Effect,set,media,pair_id,_set,_media,_pair_id,Estimate,StdErr,DF,tValue,Probt,Adjustment,Adjp,Alpha,Lower,Upper,AdjLower,AdjUpper
set*media*pair_id,set1,2dd,1,set2,3dp,9,-0.2535,2.5908,3823,-0.10,0.9221,Tukey-Kramer,1.0000,0.05,-5.3330,4.8260,-10.6981,10.1911
set*media*pair_id,set1,2dd,2,set1,2dd,3,1.1936,16.2086,3823,0.07,0.9413,Tukey-Kramer,1.0000,0.05,-30.5847,32.9719,-64.1502,66.5374
set*media*pair_id,set1,2dd,2,set1,2dd,4,0.4130,17.0145,3823,0.02,0.9806,Tukey-Kramer,1.0000,0.05,-32.9454,33.7714,-68.1799,69.0058
set*media*pair_id,set1,2dd,2,set1,2dd,5,1.5472,12.7481,3823,0.12,0.9034,Tukey-Kramer,1.0000,0.05,-23.4465,26.5410,-49.8459,52.9404
set*media*pair_id,set1,2dd,2,set1,2dd,6,1.6292,16.0400,3823,0.10,0.9191,Tukey-Kramer,1.0000,0.05,-29.8185,33.0770,-63.0349,66.2933
set*media*pair_id,set1,2dd,2,set1,2dd,7,1.0144,21.7079,3823,0.05,0.9627,Tukey-Kramer,1.0000,0.05,-41.5457,43.5745,-86.4994,88.5282
set*media*pair_id,set1,2dd,2,set1,2dd,8,-0.00068,19.0987,3823,-0.00,1.0000,Tukey-Kramer,1.0000,0.05,-37.4454,37.4440,-76.9960,76.9946
set*media*pair_id,set1,2dd,2,set1,2dd,9,-0.3199,19.0987,3823,-0.02,0.9866,Tukey-Kramer,1.0000,0.05,-37.7646,37.1248,-77.3151,76.6754
set*media*pair_id,set1,2dd,2,set1,3dd,1,-0.9341,14.6913,3823,-0.06,0.9493,Tukey-Kramer,1.0000,0.05,-29.7377,27.8695,-60.1613,58.2930
set*media*pair_id,set1,2dd,2,set1,3dd,2,-1.2889,2.5763,3823,-0.50,0.6169,Tukey-Kramer,1.0000,0.05,-6.3400,3.7622,-11.6753,9.0975
set*media*pair_id,set1,2dd,2,set1,3dd,3,-0.7706,14.4556,3823,-0.05,0.9575,Tukey-Kramer,1.0000,0.05,-29.1120,27.5708,-59.0474,57.5062
set*media*pair_id,set1,2dd,2,set1,3dd,4,-0.5053,18.0540,3823,-0.03,0.9777,Tukey-Kramer,1.0000,0.05,-35.9017,34.8911,-73.2888,72.2782
set*media*pair_id,set1,2dd,2,set1,3dd,5,1.4792,15.6833,3823,0.09,0.9249,Tukey-Kramer,1.0000,0.05,-29.2693,32.2277,-61.7470,64.7054
set*media*pair_id,set1,2dd,2,set1,3dd,6,-0.1325,17.5002,3823,-0.01,0.9940,Tukey-Kramer,1.0000,0.05,-34.4430,34.1780,-70.6832,70.4182
set*media*pair_id,set1,2dd,2,set1,3dd,7,-0.2802,22.7483,3823,-0.01,0.9902,Tukey-Kramer,1.0000,0.05,-44.8802,44.3198,-91.9884,91.4281
set*media*pair_id,set1,2dd,2,set1,3dd,8,-0.7450,20.1397,3823,-0.04,0.9705,Tukey-Kramer,1.0000,0.05,-40.2305,38.7405,-81.9366,80.4467
set*media*pair_id,set1,2dd,2,set1,3dd,9,-2.4587,20.1397,3823,-0.12,0.9028,Tukey-Kramer,1.0000,0.05,-41.9442,37.0268,-83.6504,78.7330
set*media*pair_id,set1,2dd,2,set1,3dp,1,0.1620,17.3340,3823,0.01,0.9925,Tukey-Kramer,1.0000,0.05,-33.8228,34.1467,-69.7189,70.0428
set*media*pair_id,set1,2dd,2,set1,3dp,2,-0.1148,0.3763,3823,-0.31,0.7603,Tukey-Kramer,1.0000,0.05,-0.8525,0.6230,-1.6318,1.4022
set*media*pair_id,set1,2dd,2,set1,3dp,3,-0.5137,19.8919,3823,-0.03,0.9794,Tukey-Kramer,1.0000,0.05,-39.5134,38.4860,-80.7065,79.6791
set*media*pair_id,set1,2dd,2,set1,3dp,4,0.4960,20.6974,3823,0.02,0.9809,Tukey-Kramer,1.0000,0.05,-40.0830,41.0749,-82.9441,83.9360
set*media*pair_id,set1,2dd,2,set1,3dp,5,1.3683,16.4323,3823,0.08,0.9336,Tukey-Kramer,1.0000,0.05,-30.8487,33.5853,-64.8776,67.6142
